Order_Date,Qty,Vendor,Location,Material_Num,Order_Type,DAYS
02/26/2020,6,165818,07,1360089,A,26
01/13/2020,11,165818,05,1360089,A,54
01/08/2020,27,165818,05,1360089,A,26
09/30/2020,15,116333,03,1360089,A,28
05/28/2019,1,165818,05,1360089,B,13
11/07/2019,19,165818,07,1360089,A,35
12/12/2018,5,165818,07,1360089,B,26
03/27/2020,6,165818,05,1360089,A,7
11/26/2019,11,165818,03,1360089,A,34
06/26/2019,13,165818,05,1360089,A,6
07/01/2020,21,165818,03,1360089,A,99
05/28/2019,1,165818,05,1360089,B,26
04/06/2020,52,165818,03,1360089,A,12
02/15/2019,16,165818,05,1360089,B,28
12/07/2018,1,165818,03,1360089,B,21
09/27/2019,2,165818,05,1360089,A,36
07/02/2020,21,165818,03,1360089,A,100
09/11/2019,18,165818,05,1360089,A,41
06/11/2019,5,165818,07,1360089,B,20
02/14/2019,7,165818,07,1360089,B,27
08/06/2019,5,165818,07,1360089,A,12
04/10/2019,13,165818,07,1360089,B,34
02/03/2020,47,165818,03,1360089,A,45
02/28/2019,1,165818,07,1360089,B,28
07/02/2020,21,165818,05,1360089,A,101
01/25/2019,2,165818,03,1360089,B,65
06/05/2019,13,165818,07,1360089,B,21
07/01/2019,17,165818,03,1360089,A,11
01/06/2020,2,165818,03,1360089,A,47
01/16/2019,2,165818,07,1360089,B,27
10/03/2019,20,165818,03,1360089,A,15
12/07/2018,9,165818,05,1360089,B,16
08/06/2019,1,165818,03,1360089,A,12
06/04/2019,4,165818,03,1360089,B,20
01/13/2020,24,165818,07,1360089,A,24
11/11/2019,8,165818,05,1360089,A,39
01/07/2020,25,165818,07,1360089,A,48
01/17/2019,9,165818,03,1360089,B,28
05/09/2019,4,165818,03,1360089,B,14
05/28/2020,21,165818,07,1360089,A,65
01/03/2020,24,165818,03,1360089,A,21
05/06/2020,10,165818,07,1360089,A,42
11/09/2018,19,165818,03,1360089,B,16
07/31/2019,2,165818,03,1360089,A,12
09/20/2019,16,165818,03,1360089,A,37
05/08/2020,19,165818,05,1360089,A,45
03/12/2020,12,165818,05,1360089,A,13
05/01/2019,16,165818,03,1360089,B,55
04/01/2019,9,165818,05,1360089,B,25
10/02/2019,11,165818,05,1360089,A,14
06/07/2019,3,165818,03,1360089,B,16
01/02/2019,4,165818,05,1360089,B,54
01/04/2019,1,165818,03,1360089,B,18
07/02/2019,1,165818,03,1360089,A,12
10/27/2020,16,116333,07,1360089,A,13
02/26/2020,17,165818,03,1360089,A,13
02/25/2019,19,165818,07,1360089,B,31
03/27/2020,4,165818,03,1360089,A,7
05/29/2019,4,165818,03,1360089,B,20
05/31/2019,3,165818,05,1360089,B,9
11/12/2019,45,165818,03,1360089,A,40
11/28/2018,59,165818,03,1360014,B,27
06/22/2020,40,165818,05,1360014,A,90
04/03/2019,8,165818,03,1360014,B,14
01/08/2020,57,165818,05,1360014,A,19
01/10/2020,18,165818,05,1360014,A,71
05/17/2019,7,165818,07,1360014,B,50
09/09/2019,20,165818,05,1360014,A,81
10/23/2019,15,165818,07,1360014,A,20
09/16/2019,9,165818,07,1360014,A,39
03/24/2020,91,165818,03,1360014,A,12
03/06/2019,61,165818,03,1360014,B,26
08/02/2019,22,165818,05,1360014,B,72
11/14/2018,16,165818,05,1360014,B,13
10/02/2019,31,165818,03,1360014,A,41
05/28/2019,26,165818,05,1360014,B,61
01/20/2020,10,160455,52,1360014,B,52
06/26/2019,15,165818,05,1360014,B,55
09/27/2019,17,165818,07,1360014,A,36
01/03/2020,22,165818,03,1360014,A,64
07/26/2019,11,165818,07,1360014,B,65
01/08/2020,1,165818,07,1360014,A,61
02/13/2019,5,165818,07,1360014,B,19
05/08/2019,34,165818,07,1360014,B,41
02/04/2020,18,165818,07,1360014,A,25
07/22/2019,17,165818,03,1360014,B,61
04/18/2019,1,165818,03,1360014,B,29
09/23/2019,39,165818,03,1360014,A,40
06/06/2019,37,165818,03,1360014,B,42
04/01/2020,33,165818,05,1360014,A,12
08/15/2019,37,165818,03,1360014,A,56
09/25/2019,12,165818,03,1360014,A,42
06/06/2019,2,165818,07,1360014,B,49
05/26/2020,24,165818,07,1360014,A,62
08/06/2019,18,165818,03,1360014,B,62
02/27/2019,37,165818,05,1360014,B,19
10/14/2019,4,165818,07,1360014,A,26
10/30/2019,35,165818,05,1360014,A,27
07/23/2019,11,165818,07,1360014,B,62
03/19/2019,17,165818,07,1360014,B,39
10/02/2019,31,165818,05,1360014,A,49
06/06/2019,3,165818,07,1360014,B,70
08/09/2019,33,165818,05,1360014,B,65
04/03/2019,20,165818,07,1360014,B,27
08/05/2019,26,165818,03,1360014,B,88
09/14/2019,26,165818,05,1360014,A,86
05/10/2019,20,165818,03,1360014,B,43
05/01/2019,5,165818,03,1360014,B,34
06/26/2020,40,165818,03,1360014,A,94
06/18/2020,6,165818,05,1360014,A,86
10/03/2019,25,165818,07,1360014,A,27
08/28/2019,28,165818,05,1360014,A,69
03/16/2020,21,165818,07,1360014,A,17
01/07/2020,24,165818,07,1360014,A,48
